bank_id,bank_name,year,market_weight,latent_competitive_state,long_run_anchor,persistence,macro_effect,systemic_shock_effect,bank_shock_effect,persistent_strategic_effect,idiosyncratic_innovation,is_bank_shock,is_systemic_shock,world_seed
B001,BROU,2021,0.34323425851285694,-1.0693420955084407,0.30303030303030304,0.9527358260511835,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B007,Santander Uruguay,2021,0.16211646893905607,-1.8194402579979896,0.15151515151515152,0.9570156430481631,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B006,Itaú Uruguay,2021,0.10910211874426137,-2.215470966127636,0.14141414141414144,0.952643666418938,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B004,BBVA Uruguay,2021,0.09388411007367896,-2.365694128880099,0.10101010101010102,0.8969765125513274,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B011,Scotiabank Uruguay,2021,0.09226751450092438,-2.3830631549938452,0.09090909090909091,0.925408523457412,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B000,BTYT,2021,0.04892548615656872,-3.017456828977395,0.05050505050505051,0.890096038669726,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B009,Citibank Uruguay,2021,0.04202805984099589,-3.1694177923202296,0.04040404040404041,0.8841163793235419,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B002,BHU,2021,0.028107460583315487,-3.5717202366960352,0.030303030303030304,0.9512882137706473,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B010,HSBC Uruguay,2021,0.010000003947983631,-4.605169791189806,0.030303030303030304,0.851305461215002,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B005,Banco Nación,2021,0.025121548380638792,-3.6840292999251263,0.025252525252525256,0.8910081255973504,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B008,Banque Heritage Uruguay,2021,0.026398220730984107,-3.634458667654749,0.020202020202020204,0.9366521641943418,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B003,Bandes,2021,0.01881474958873566,-3.973114164154421,0.015151515151515152,0.8687591562250176,0.0,0.0,0.0,0.0,0.0,False,False,1146763347
B001,BROU,2022,0.3478941887948086,-1.0756340979980599,0.30303030303030304,0.9527358260511835,-0.018425748994365544,-0.0,0.0,0.0,0.018021934923125066,False,False,1146763347
B007,Santander Uruguay,2022,0.152606396272642,-1.899670443093127,0.15151515151515152,0.9570156430481631,-0.0291773293019497,-0.0,0.0,0.0,-0.048145849908530026,False,False,1146763347
B006,Itaú Uruguay,2022,0.11526882322394048,-2.1802654826568983,0.14141414141414144,0.952643666418938,-0.027508578080518178,-0.0,0.0,0.0,0.050429428667284164,False,False,1146763347
B004,BBVA Uruguay,2022,0.09265147167016335,-2.398687639556269,0.10101010101010102,0.8969765125513274,-0.028349954883572323,-0.0,0.0,0.0,-0.012180689408760466,False,False,1146763347
B011,Scotiabank Uruguay,2022,0.09193671066336105,-2.406432063604922,0.09090909090909091,0.925408523457412,-0.02609851189230353,-0.0,0.0,0.0,0.0038359528485197684,False,False,1146763347
B000,BTYT,2022,0.04848795045310355,-3.04621715354091,0.05050505050505051,0.890096038669726,-0.034726826623059516,-0.0,0.0,0.0,0.0024743156373732574,False,False,1146763347
B009,Citibank Uruguay,2022,0.039740869481732444,-3.2451523602082375,0.04040404040404041,0.8841163793235419,-0.022720614263218926,-0.0,0.0,0.0,-0.04844724704931419,False,False,1146763347
B002,BHU,2022,0.027954848255664393,-3.596941830051569,0.030303030303030304,0.9512882137706473,-0.025761310459805006,-0.0,0.0,0.0,-0.0031240266532488042,False,False,1146763347
B010,HSBC Uruguay,2022,0.01534860998000893,-4.19650756146648,0.030303030303030304,0.851305461215002,-0.025278181702816926,-0.0,0.0,0.0,-0.08622002775143456,False,False,1146763347
B005,Banco Nación,2022,0.025184844716781462,-3.701290062874989,0.025252525252525256,0.8910081255973504,-0.040130601836886895,-0.0,0.0,0.0,0.022303061340154924,False,False,1146763347
B008,Banque Heritage Uruguay,2022,0.02527281342006161,-3.6978032267571215,0.020202020202020204,0.9366521641943418,-0.01628309182564486,-0.0,0.0,0.0,-0.03011503420739201,False,False,1146763347
B003,Bandes,2022,0.017652473067732113,-4.0566565856352765,0.015151515151515152,0.8687591562250176,-0.021368765259677437,-0.0,0.0,0.0,-0.03375468806973396,False,False,1146763347
B001,BROU,2023,0.35203671450118545,-1.0542940149272357,0.30303030303030304,0.9527358260511835,0.00035304485421319785,-0.0,0.0,0.0,0.026577840334833885,False,False,1146763347
B007,Santander Uruguay,2023,0.14891473228965607,-1.914655612020279,0.15151515151515152,0.9570156430481631,0.007499598057243488,-0.0,0.0,0.0,-0.02302640401417891,False,False,1146763347
B006,Itaú Uruguay,2023,0.11790797629238962,-2.1481250293601284,0.14141414141414144,0.952643666418938,0.007232660714896791,-0.0,0.0,0.0,0.014290362317024314,False,False,1146763347
B004,BBVA Uruguay,2023,0.09174292551732888,-2.399039109762691,0.10101010101010102,0.8969765125513274,0.008636454960205226,-0.0,0.0,0.0,-0.019924165315824402,False,False,1146763347
B011,Scotiabank Uruguay,2023,0.08985258084002941,-2.41985915095589,0.09090909090909091,0.925408523457412,0.00822450262486659,-0.0,0.0,0.0,-0.02228836180703084,False,False,1146763347
B000,BTYT,2023,0.046234805649668614,-3.084296604158253,0.05050505050505051,0.890096038669726,0.015777503985232564,-0.0,0.0,0.0,-0.06051001462342063,False,False,1146763347
B009,Citibank Uruguay,2023,0.03929714864225783,-3.2468775250354276,0.04040404040404041,0.8841163793235419,-0.018424862591915864,-0.0,0.0,0.0,0.012490008402970995,False,False,1146763347
B002,BHU,2023,0.028417560848078623,-3.571022193851382,0.030303030303030304,0.9512882137706473,0.0009201974815823783,-0.0,0.0,0.0,0.020107106097185874,False,False,1146763347
B010,HSBC Uruguay,2023,0.016488158406516476,-4.115387036722253,0.030303030303030304,0.851305461215002,-0.019340992706079592,-0.0,0.0,0.0,-0.003624659699191806,False,False,1146763347
B005,Banco Nación,2023,0.025341489696166727,-3.685586526155915,0.025252525252525256,0.8910081255973504,-0.038331632246293046,-0.0,0.0,0.0,0.05158710851097272,False,False,1146763347
B008,Banque Heritage Uruguay,2023,0.024799432592753398,-3.707208714061644,0.020202020202020204,0.9366521641943418,-0.020297048410289682,-0.0,0.0,0.0,0.02382525344590438,False,False,1146763347
B003,Bandes,2023,0.018966474723968868,-3.9753565552350585,0.015151515151515152,0.8687591562250176,0.01204631794665657,-0.0,0.0,0.0,0.0867085027188531,False,False,1146763347
B001,BROU,2024,0.34724773638137757,-1.0651068908702557,0.30303030303030304,0.9527358260511835,0.0014185071491903919,-0.015651719858575122,0.0,0.0,0.01001976028292918,False,True,1146763347
B007,Santander Uruguay,2024,0.15426046063113813,-1.8765028772120607,0.15151515151515152,0.9570156430481631,0.012153849931606418,-0.02012363981816801,0.0,0.0,0.044936759814847745,False,True,1146763347
B006,Itaú Uruguay,2024,0.11699751421562818,-2.152992665231541,0.14141414141414144,0.952643666418938,0.012919948871785755,-0.018782063830290147,0.0,0.0,-0.008100897149988807,False,True,1146763347
B004,BBVA Uruguay,2024,0.09032061353110034,-2.411779641105155,0.10101010101010102,0.8969765125513274,0.01268662814105044,-0.02012363981816801,0.0,0.0,-0.016275969500942535,False,True,1146763347
B011,Scotiabank Uruguay,2024,0.09033698828437949,-2.4115983616775587,0.09090909090909091,0.925408523457412,0.013165846607620942,-0.0205708318141273,0.0,0.0,0.014027456382466958,False,True,1146763347
B000,BTYT,2024,0.048504630908237645,-3.0334860777539903,0.05050505050505051,0.890096038669726,0.014048238426175138,-0.023253983789883036,0.0,0.0,0.04917812927899849,False,True,1146763347
B009,Citibank Uruguay,2024,0.0383756123074044,-3.2677231921099836,0.04040404040404041,0.8841163793235419,0.01386854748409112,-0.017887679838371567,0.0,0.0,-0.02123614242846858,False,True,1146763347
B002,BHU,2024,0.02870504813699287,-3.5580723532101457,0.030303030303030304,0.9512882137706473,0.016916817882989044,-0.017887679838371567,0.0,0.0,0.010290961752926408,False,True,1146763347
B010,HSBC Uruguay,2024,0.01816235218062772,-4.0157944636329015,0.030303030303030304,0.851305461215002,0.01102979468353887,-0.017887679838371567,0.0,0.0,0.014426460107524824,False,True,1146763347
B005,Banco Nación,2024,0.02539950732973292,-3.6804155764141564,0.025252525252525256,0.8910081255973504,0.007745439723355228,-0.018782063830290147,0.0,0.0,0.015471071296061824,False,True,1146763347
B008,Banque Heritage Uruguay,2024,0.02252741910549436,-3.800412159585174,0.020202020202020204,0.9366521641943418,0.009404554435705464,-0.015651719858575122,0.0,0.0,-0.07461840502596204,False,True,1146763347
B003,Bandes,2024,0.019162116987886325,-3.9622100973709884,0.015151515151515152,0.8687591562250176,0.010822075794778861,-0.024595559777760904,0.0,0.0,0.05504461670099994,False,True,1146763347
B001,BROU,2025,0.34811901460150024,-1.1074455229856868,0.30303030303030304,0.9527358260511835,0.0037525545864144014,-0.02698374477220082,0.0,0.0,-0.013019080062537977,False,True,1146763347
B007,Santander Uruguay,2025,0.1575440954273686,-1.9002845502256385,0.15151515151515152,0.9570156430481631,0.0031595508710595467,-0.03469338613568677,0.0,0.0,0.008206368142802666,False,True,1146763347
B006,Itaú Uruguay,2025,0.10714112876867242,-2.28584301442165,0.14141414141414144,0.952643666418938,0.000455637372411253,-0.03238049372664099,-0.10428569715660437,-0.10428569715660437,-0.00596568530443252,True,True,1146763347
B004,BBVA Uruguay,2025,0.09078779340804193,-2.4514650975361154,0.10101010101010102,0.8969765125513274,0.0030937254992159033,-0.03469338613568677,0.0,0.0,-0.02037081960093613,False,True,1146763347
B011,Scotiabank Uruguay,2025,0.09358223821305091,-2.4211493374789375,0.09090909090909091,0.925408523457412,0.004638647787116565,-0.035464350272035365,0.0,0.0,0.02025259305084709,False,True,1146763347
B000,BTYT,2025,0.0505524414391154,-3.0369786984642935,0.05050505050505051,0.890096038669726,0.0025408425943989803,-0.04009013509012693,0.0,0.0,0.028802807425557905,False,True,1146763347
B009,Citibank Uruguay,2025,0.04147793739417223,-3.2348282834584574,0.04040404040404041,0.8841163793235419,0.006764742927537627,-0.030838565453943794,0.0,0.0,0.05014345209372344,False,True,1146763347
B002,BHU,2025,0.02865862518526902,-3.604535488833926,0.030303030303030304,0.9512882137706473,0.014069435244981995,-0.030838565453943794,0.0,0.0,-0.03269293638949038,False,True,1146763347
B010,HSBC Uruguay,2025,0.016637185945382243,-4.148349633041727,0.030303030303030304,0.851305461215002,0.0033608697433216064,-0.030838565453943794,-0.18430631777906598,-0.18430631777906598,0.0020137176661357216,True,True,1146763347
B005,Banco Nación,2025,0.023825880580020452,-3.7892175310802987,0.025252525252525256,0.8910081255973504,0.008169660702304677,-0.03238049372664099,-0.07026942910797467,-0.07026942910797467,-0.014494603581666597,True,True,1146763347
