world_seed,leader_2021,leader_2026,leadership_changed,btyt_gained,btyt_change_2021_2026,systemic_shock_years,bank_shock_events,mean_hhi,hhi_2021,hhi_2026,largest_annual_gain,largest_annual_loss
20260901,B001,B001,False,True,0.00693469783551947,1,4,0.17333096378530863,0.17152286365498362,0.17021024222674738,0.009990542289816662,-0.008473882268291169
20260902,B001,B001,False,True,0.0024488494188631554,1,4,0.1560629409715398,0.16828521805674257,0.14493493917492126,0.011672540340926268,-0.027503175058945062
20260903,B001,B001,False,False,-0.0007328927895859233,0,4,0.15882538360829543,0.1603295875254526,0.15872828587865057,0.011315820726735953,-0.00933921682183908
20260904,B001,B001,False,False,-0.005919495682468169,0,7,0.16059632298030913,0.15655993672726132,0.1631724244376152,0.006913396146958517,-0.007535508790819823
20260905,B001,B001,False,True,0.007873834906760399,0,3,0.16261039403003416,0.16056843865879733,0.16082130531765193,0.010019029259361628,-0.01850776964828052
20260906,B001,B001,False,False,-0.0044551051159640795,0,4,0.16062127490740194,0.1637761200461769,0.16274725737325832,0.00781456193451402,-0.008167898787854233
20260907,B001,B001,False,True,0.014184327370157818,1,5,0.14913521868588525,0.164630706485244,0.13147607779797635,0.020512582284056696,-0.06953087927296195
20260908,B001,B001,False,True,0.009391606363413997,2,4,0.16725183155320314,0.16633256194799237,0.16384368928595547,0.0068768861846251195,-0.010843214913523969
20260909,B001,B001,False,False,-0.005029485363960237,0,4,0.161563620044492,0.1624137863709196,0.16586830958344845,0.010430136257817635,-0.007446852853034688
20260910,B001,B001,False,False,-0.01641425787944152,1,1,0.15442877903762103,0.15778032136503226,0.15105774491137894,0.009590916084615209,-0.008797870481067394
20260911,B001,B001,False,True,3.629227211192354e-06,0,3,0.16831920892547378,0.16964702624527306,0.17263265673288464,0.01144908890119134,-0.007733301493283273
20260912,B001,B001,False,True,0.011032352897394314,3,7,0.1689368484174426,0.1722958908151178,0.16580892874883646,0.0254121905649851,-0.018569248814837513
20260913,B001,B001,False,False,-0.005179615090047267,1,5,0.161969540085037,0.16190855788983075,0.15760465624222275,0.009318732385798223,-0.018147748737345593
20260914,B001,B001,False,True,0.015724569810957947,3,5,0.15344225126724328,0.1621692313445538,0.15076629266844346,0.00769900154345271,-0.01629182737307766
20260915,B001,B001,False,True,0.006463162424080418,0,4,0.15761684504311446,0.15603126876093631,0.15746495953679307,0.025293274959990425,-0.012531813551247079
20260916,B001,B007,True,True,0.011150747395950067,1,8,0.14218072710982174,0.15599661868572406,0.13084133470848683,0.02889228566702337,-0.06746098072711021
20260917,B001,B001,False,True,0.001464473771807917,0,3,0.17569024907617217,0.16823864854317977,0.1740698212075465,0.0117573003261639,-0.011628418665944162
20260918,B001,B001,False,True,0.0039207532850720345,0,7,0.18156752078980862,0.17401454041117548,0.18338380227030018,0.02139915072516857,-0.014195951179014676
20260919,B001,B001,False,True,0.002710439575828623,1,4,0.16547941844509656,0.16108038184390736,0.1629387393051381,0.01295935378243998,-0.021089921769864517
20260920,B001,B001,False,False,-0.014309785279603228,2,7,0.17002297037015435,0.1666414023485655,0.17469087595048627,0.009706890658638834,-0.007590475499756999
20260921,B001,B001,False,True,0.010177579208729533,0,4,0.15713961220611,0.15726682599934783,0.15156124051389455,0.01920669101269218,-0.02108747190428578
20260922,B001,B001,False,True,0.00013375418762019697,2,10,0.16421672431969137,0.17271449817234888,0.16424832297438013,0.014084919146189125,-0.020843129998131066
20260923,B001,B001,False,True,0.010246487531021961,0,7,0.16222609000579,0.15941299665177575,0.16953295951556543,0.016457320024765743,-0.008514374935387335
20260924,B001,B001,False,True,0.0020648318629402987,1,7,0.16471326569972597,0.16663046587128502,0.16165814822558297,0.008007008161624397,-0.011096756122002296
20260925,B001,B001,False,True,0.01181662842725828,1,7,0.15831403475282357,0.15498921281107972,0.16223974856065354,0.020059046665022562,-0.010534410242650505
20260926,B001,B001,False,True,0.0003931741321128654,0,3,0.14882206330906345,0.15236326719450632,0.14540554573277423,0.009135044871523723,-0.015303445528345894
20260927,B001,B001,False,True,0.010186316142134035,2,0,0.1662011118390411,0.16494909043108033,0.16725521233981394,0.007461773772438285,-0.0068800880442826465
20260928,B001,B001,False,True,0.017649278674668964,1,7,0.16647967031047364,0.16574052078258708,0.16651163713423478,0.012967390405365459,-0.010877264233580902
20260929,B001,B001,False,False,-0.0005791250514978544,0,4,0.17493999390377593,0.17819323588034464,0.17560250654819642,0.008250616689294554,-0.010601196574324845
20260930,B001,B001,False,False,-0.004168809329669593,0,5,0.1592660598541348,0.15710492039032012,0.15910022500526433,0.01467345073996476,-0.008204647661464337
20260931,B001,B001,False,False,-0.01882825098745944,0,7,0.16783767570971309,0.15584129247501652,0.17715268353994418,0.01439321758478651,-0.01904049765031046
20260932,B001,B001,False,True,0.007576487549810516,0,4,0.15006717193551153,0.15825366677352834,0.14668066214489328,0.015182334438432643,-0.03851502486671743
20260933,B001,B001,False,True,0.028600302380322018,1,9,0.1564425774997208,0.15976151258405707,0.14924256728555704,0.01294705522408924,-0.01639381677496704
20260934,B001,B001,False,False,-0.0033565710373084437,1,4,0.1659117725608973,0.1624194435039205,0.17052898282717738,0.006601215679146871,-0.007417294488931969
20260935,B001,B001,False,True,0.0047127038792928524,0,4,0.18447118136102256,0.15968254255605685,0.20386250676894094,0.03419306213458645,-0.009265325466165139
20260936,B001,B001,False,False,-0.010233061311313664,0,6,0.1795542470445598,0.17136330906576513,0.18387403277926656,0.015705712801300842,-0.008011114999353211
20260937,B001,B001,False,False,-0.0008432133445547135,3,8,0.15272243980698436,0.15497210022431387,0.154139524091266,0.022161198497365628,-0.0183889523595632
20260938,B001,B001,False,False,-0.012045807301771141,0,4,0.1652037707126801,0.16094818491062443,0.16335282187506106,0.008707163258529882,-0.007545500840700825
20260939,B001,B001,False,True,0.014842608405746527,1,2,0.16110718106366717,0.16342515000484983,0.16027542077218365,0.007952169437096826,-0.007691082142175232
20260940,B001,B001,False,False,-0.00018593579321646292,2,4,0.1580399244115757,0.15366261103925663,0.1632784982914101,0.009207004143321262,-0.013561541127714155
20260941,B001,B001,False,True,0.0013032154929089462,2,4,0.1699351274200425,0.16558711109384894,0.17206560940794838,0.014954729238369158,-0.0068487622500646335
